date,open,high,low,close,volume
2024-01-20,93.466,94.379,90.415,92.995,7798.48728197
2024-01-19,94.327,95.5,87.16,93.734,23028.73252489
2024-01-18,102.13,103.56,91.39,94.446,18615.27314154
2024-01-17,97.822,102.86,96.672,102.18,16813.41648613
2024-01-16,94.524,98.748,94.274,97.659,6778.43191751
2024-01-15,93.769,96.928,93.001,94.4,9058.06056035
2024-01-14,95.959,102.95,93.7,94.039,18526.48530389
2024-01-13,92.066,97.08,89.561,95.828,9185.2008952
2024-01-12,99.843,100.41,86.372,92.094,37182.6740914
2024-01-11,101.98,106.92,97.58,99.837,37334.01497695
2024-01-10,99.348,105.37,92.2,102.16,51753.12080062
2024-01-09,97.866,105.48,95.5,99.31,42186.95884462
2024-01-08,89.201,99.94,85.348,97.619,30109.16637732
2024-01-07,93.774,96.844,87.87,89.5,18233.86114329
2024-01-06,100.04,100.39,91.602,93.924,17884.86877289
2024-01-05,105.1,105.47,95.35,99.818,33758.22954664
2024-01-04,98.6,108.26,96.67,105.22,30619.21322566
2024-01-03,106.81,110.0,85.0,98.726,74586.82040802
2024-01-02,109.96,117.03,106.19,106.83,31434.36129768
2024-01-01,101.9,109.99,101.61,109.99,16717.59778335
2023-12-31,102.04,105.28,99.63,101.84,15182.66543135
2023-12-30,106.26,107.59,100.87,101.98,11765.0463331
2023-12-29,101.96,110.0,99.616,106.33,34680.85789829
2023-12-28,106.74,109.63,97.371,101.94,37021.60394403
2023-12-27,112.71,115.42,104.83,106.86,34563.09668653
2023-12-26,121.15,121.44,102.02,112.59,74843.79952002
2023-12-25,112.76,126.66,108.13,120.99,54709.08029041
2023-12-24,108.05,118.34,107.51,112.62,74697.40074092
2023-12-23,98.29,110.19,92.98,108.05,57520.65249969
2023-12-22,94.099,99.5,90.5,98.242,53668.69609394
2023-12-21,82.39,95.672,81.235,93.96,53298.82351583
2023-12-20,73.112,84.142,73.087,82.29,62495.43843667
2023-12-19,74.49,76.388,71.88,73.14,18374.01367447
