asset,statistic,n_actual,n_with_proxy,mean,median,min,max,q25,q75,is_sensitive,n_with_proxy_note,looco_C1_mean,looco_C1_delta,looco_C2_mean,looco_C2_delta,looco_C3_mean,looco_C3_delta,looco_C4_mean,looco_C4_delta
sol,drawdown_asset_pct,2,2,0.8625991881088733,0.8625991881088733,0.7624711478223648,0.9627272283953818,0.8125351679656191,0.9126632082521275,False,n=2 < 3; LOOCO unavailable,,,,,,,,
mstr,D_asset_prev_bottom_to_halving,2,2,266.0,266.0,54.0,478.0,160.0,372.0,False,n=2 < 3; LOOCO unavailable,,,,,,,,
mstr,D_asset_halving_to_top,2,2,244.0,244.0,214.0,274.0,229.0,259.0,False,n=2 < 3; LOOCO unavailable,,,,,,,,
mstr,D_asset_top_to_next_bottom,2,2,635.5,635.5,583.0,688.0,609.25,661.75,False,n=2 < 3; LOOCO unavailable,,,,,,,,
mstr,mult_asset_bottom_to_top,2,2,24.24304050951964,24.24304050951964,13.806290133577496,34.679790885461784,19.024665321548568,29.461415697490715,False,n=2 < 3; LOOCO unavailable,,,,,,,,
mstr,drawdown_asset_pct,2,2,0.8594768523818822,0.8594768523818822,0.8262879093954507,0.8926657953683137,0.8428823808886665,0.8760713238750979,False,n=2 < 3; LOOCO unavailable,,,,,,,,
wgmi,D_asset_prev_bottom_to_halving,1,1,212.75,159.0,54.0,479.0,72.75,299.0,True,n_actual=1; projection not meaningful,257.3333333333333,44.583333333333314,204.0,-8.75,265.6666666666667,52.916666666666686,124.0,-88.75
wgmi,D_asset_halving_to_top,1,1,572.75,651.0,200.0,789.0,460.25,763.5,True,n_actual=1; projection not meaningful,512.0,-60.75,697.0,124.25,581.3333333333334,8.583333333333371,500.6666666666667,-72.08333333333331
wgmi,D_asset_top_to_next_bottom,0,0,629.0,414.0,325.0,1148.0,369.5,781.0,True,n_actual=0; projection not meaningful,781.0,152.0,369.5,-259.5,736.5,107.5,,
wgmi,mult_asset_bottom_to_top,1,1,53.64321866586041,11.379167184336728,1.5895522846148407,190.22498801015334,4.244868227075667,60.77751762312147,True,n_actual=1; projection not meaningful,69.81430037407078,16.171081708210373,70.99444079294226,17.351222127081847,8.115962217762766,-45.527256448097646,65.64817127866583,12.004952612805418
wgmi,drawdown_asset_pct,0,0,0.9360972185629407,0.9586016526879655,0.8614270917470189,0.9882629112538377,0.9100143722174923,0.9734322819709016,False,n_actual=0; projection not meaningful,0.9734322819709016,0.03733506340796089,0.9100143722174923,-0.02608284634544844,0.9248450015004284,-0.011252217062512337,,
spx,D_asset_prev_bottom_to_halving,4,4,288.5,285.5,49.0,534.0,124.0,450.0,True,,244.0,-44.5,335.0,46.5,368.3333333333333,79.83333333333331,206.66666666666666,-81.83333333333334
spx,D_asset_halving_to_top,4,4,864.25,871.5,602.0,1112.0,779.75,956.0,False,,851.0,-13.25,781.6666666666666,-82.58333333333337,951.6666666666666,87.41666666666663,872.6666666666666,8.416666666666629
spx,D_asset_top_to_next_bottom,3,3,263.0,266.0,241.0,282.0,253.5,274.0,False,,261.5,-1.5,274.0,11.0,253.5,-9.5,,
spx,mult_asset_bottom_to_top,4,4,1.9555080136962508,2.0119574869993415,1.6543071818186854,2.1438098989676346,1.867426380768965,2.1000391199266275,False,,1.9611886470108706,0.005680633314619765,2.0559082909887727,0.10040027729252188,1.8927407186057896,-0.0627672950904612,1.9121943981795706,-0.043313615516680226
spx,drawdown_asset_pct,3,3,0.21881079418232927,0.2542509661923039,0.14160750444640424,0.2605739119082796,0.19792923531935408,0.25741243905029176,False,,0.25741243905029176,0.0386016448679625,0.19792923531935408,-0.020881558862975186,0.20109070817734193,-0.01772008600498734,,
ndx,D_asset_prev_bottom_to_halving,4,4,400.25,473.0,151.0,504.0,388.0,485.25,True,,378.0,-22.25,483.3333333333333,83.08333333333331,365.6666666666667,-34.583333333333314,374.0,-26.25
