cycle_id,asset,lag,cross_corr
C1,mstr,12,0.048017375264628355
C1,mstr,13,0.05471099174160482
C1,mstr,14,0.06430239128664697
C1,mstr,15,0.06133818579929954
C1,mstr,16,0.0433349571634248
C1,mstr,17,0.04039790090657498
C1,mstr,18,0.020525540441092883
C1,mstr,19,0.011844168211613285
C1,mstr,20,-0.0027035011530054747
C1,mstr,21,-0.031609803554204625
C1,mstr,22,-0.05259765237390063
C1,mstr,23,-0.05713444308219003
C1,mstr,24,-0.07296526703483544
C1,mstr,25,-0.0819060562207606
C1,mstr,26,-0.0932675626700395
C1,mstr,27,-0.09807224180427294
C1,mstr,28,-0.08608691294451826
C1,mstr,29,-0.06845527798761442
C1,mstr,30,-0.05895951342090797
C1,mstr,31,-0.03719765743329879
C1,mstr,32,-0.016226171976681792
C1,mstr,33,0.0003185883332793392
C1,mstr,34,0.015740757370239694
C1,mstr,35,0.015782808927540436
C1,mstr,36,0.01721508704392291
C1,mstr,37,0.012398911352957646
C1,mstr,38,-0.006931815631127695
C1,mstr,39,-0.031441579412289804
C1,mstr,40,-0.0505506883178875
C1,mstr,41,-0.06773205769655954
C1,mstr,42,-0.06850600226274338
C1,mstr,43,-0.07379671128560693
C1,mstr,44,-0.06760472939695716
C1,mstr,45,-0.050773553037812134
C1,mstr,46,-0.020342475169720115
C1,mstr,47,0.00860554811283558
C1,mstr,48,0.037380955466817314
C1,mstr,49,0.06123961046168459
C1,mstr,50,0.07603631058999051
C1,mstr,51,0.08425580776238246
C1,mstr,52,0.07998861596423414
C1,mstr,53,0.056602917795261554
C1,mstr,54,0.03924155006681628
C1,mstr,55,0.015924637570841386
C1,mstr,56,-0.012594273721857112
C1,mstr,57,-0.03390749541405783
C1,mstr,58,-0.057029889960032894
C1,mstr,59,-0.06995571418141427
C1,mstr,60,-0.06553990805433997
C1,wgmi,-60,
C1,wgmi,-59,
C1,wgmi,-58,
C1,wgmi,-57,
C1,wgmi,-56,
C1,wgmi,-55,
C1,wgmi,-54,
C1,wgmi,-53,
C1,wgmi,-52,
C1,wgmi,-51,
C1,wgmi,-50,
C1,wgmi,-49,
C1,wgmi,-48,
C1,wgmi,-47,
C1,wgmi,-46,
C1,wgmi,-45,
C1,wgmi,-44,
C1,wgmi,-43,
C1,wgmi,-42,
C1,wgmi,-41,
C1,wgmi,-40,
C1,wgmi,-39,
C1,wgmi,-38,
C1,wgmi,-37,
C1,wgmi,-36,
C1,wgmi,-35,
C1,wgmi,-34,
C1,wgmi,-33,
C1,wgmi,-32,
C1,wgmi,-31,
C1,wgmi,-30,
C1,wgmi,-29,
C1,wgmi,-28,
C1,wgmi,-27,
C1,wgmi,-26,
C1,wgmi,-25,
C1,wgmi,-24,
C1,wgmi,-23,
C1,wgmi,-22,
C1,wgmi,-21,
C1,wgmi,-20,
C1,wgmi,-19,
C1,wgmi,-18,
C1,wgmi,-17,
C1,wgmi,-16,
C1,wgmi,-15,
C1,wgmi,-14,
C1,wgmi,-13,
C1,wgmi,-12,
C1,wgmi,-11,
C1,wgmi,-10,
C1,wgmi,-9,
C1,wgmi,-8,
C1,wgmi,-7,
C1,wgmi,-6,
C1,wgmi,-5,
C1,wgmi,-4,
C1,wgmi,-3,
C1,wgmi,-2,
C1,wgmi,-1,
C1,wgmi,0,
C1,wgmi,1,
C1,wgmi,2,
C1,wgmi,3,
C1,wgmi,4,
C1,wgmi,5,
C1,wgmi,6,
C1,wgmi,7,
C1,wgmi,8,
C1,wgmi,9,
C1,wgmi,10,
C1,wgmi,11,
C1,wgmi,12,
C1,wgmi,13,
C1,wgmi,14,
C1,wgmi,15,
C1,wgmi,16,
C1,wgmi,17,
C1,wgmi,18,
C1,wgmi,19,
C1,wgmi,20,
C1,wgmi,21,
C1,wgmi,22,
C1,wgmi,23,
C1,wgmi,24,
C1,wgmi,25,
C1,wgmi,26,
C1,wgmi,27,
C1,wgmi,28,
C1,wgmi,29,
C1,wgmi,30,
C1,wgmi,31,
C1,wgmi,32,
C1,wgmi,33,
C1,wgmi,34,
C1,wgmi,35,
C1,wgmi,36,
C1,wgmi,37,
C1,wgmi,38,
C1,wgmi,39,
C1,wgmi,40,
C1,wgmi,41,
C1,wgmi,42,
C1,wgmi,43,
C1,wgmi,44,
C1,wgmi,45,
C1,wgmi,46,
C1,wgmi,47,
C1,wgmi,48,
C1,wgmi,49,
C1,wgmi,50,
C1,wgmi,51,
C1,wgmi,52,
C1,wgmi,53,
C1,wgmi,54,
C1,wgmi,55,
C1,wgmi,56,
C1,wgmi,57,
C1,wgmi,58,
C1,wgmi,59,
C1,wgmi,60,
C1,spx,-60,0.03536117284030856
C1,spx,-59,0.009693152009129959
C1,spx,-58,-0.019196276542947182
C1,spx,-57,-0.032597116006111655
C1,spx,-56,-0.03645913592540394
C1,spx,-55,-0.025818399968868408
C1,spx,-54,-0.014465194826233025
C1,spx,-53,-0.0026945109001326366
C1,spx,-52,0.0008001703073092981
C1,spx,-51,0.021538857737695732
C1,spx,-50,0.032459800023525665
C1,spx,-49,0.03418757341637773
C1,spx,-48,0.03111196697716153
C1,spx,-47,0.032451152644818126
C1,spx,-46,0.02204690765989787
C1,spx,-45,0.028509744124799532
C1,spx,-44,0.0332860675285155
C1,spx,-43,0.031911158390548575
C1,spx,-42,0.032773546259443
C1,spx,-41,0.03347472584591819
C1,spx,-40,0.028118382083249203
C1,spx,-39,0.02871661370713481
C1,spx,-38,0.017992400106920336
C1,spx,-37,-0.00046842097676184214
C1,spx,-36,-0.011785283895004958
C1,spx,-35,-0.006934396100002879
C1,spx,-34,-0.0010602795965597481
C1,spx,-33,0.0057308918987494855
C1,spx,-32,0.02420536226022483
C1,spx,-31,0.04197214371223777
C1,spx,-30,0.05524791407659967
C1,spx,-29,0.07475406214057931
C1,spx,-28,0.07221364983513068
C1,spx,-27,0.05706821847987174
C1,spx,-26,0.0543913214318241
C1,spx,-25,0.03958442796811495
C1,spx,-24,0.032065280857999624
C1,spx,-23,0.042312424409734865
C1,spx,-22,0.045685652833934984
C1,spx,-21,0.044441704516153265
C1,spx,-20,0.0720972242146154
C1,spx,-19,0.08171524543919385
C1,spx,-18,0.09452470084613962
C1,spx,-17,0.09853143980747105
C1,spx,-16,0.08209892959549589
C1,spx,-15,0.07373791134882703
C1,spx,-14,0.0837272661306353
C1,spx,-13,0.0740635113108147
C1,spx,-12,0.06267776487331979
C1,spx,-11,0.056356134648198324
C1,spx,-10,0.0608276531251999
C1,spx,-9,0.06998817294774587
C1,spx,-8,0.06835498620278692
C1,spx,-7,0.05912100599987184
C1,spx,-6,0.04936164291128321
C1,spx,-5,0.0502087104625768
C1,spx,-4,0.040423411575402704
C1,spx,-3,0.020802809537736246
C1,spx,-2,0.01784511621126406
C1,spx,-1,0.02481707785437084
C1,spx,0,0.036527237207084444
C1,spx,1,0.049483618200319324
C1,spx,2,0.055548561617578686
C1,spx,3,0.06485984102158306
C1,spx,4,0.07656363210795662
C1,spx,5,0.08049468230311801
C1,spx,6,0.06562047539466609
C1,spx,7,0.04296918568022415
C1,spx,8,0.021474943789956208
C1,spx,9,0.01646228407052022
C1,spx,10,0.010105819111339658
C1,spx,11,0.011018567612724656
C1,spx,12,0.0013582042198945986
C1,spx,13,0.005823694264263117
C1,spx,14,0.02322712282853829
C1,spx,15,0.035959493443629385
C1,spx,16,0.030562026840973647
C1,spx,17,0.03072569588002353
C1,spx,18,0.023701409115412447
C1,spx,19,0.01867352366139862
C1,spx,20,0.015564080443986819
C1,spx,21,-0.0024940242553056543
C1,spx,22,-0.010137450401308644
C1,spx,23,-0.009079721185958404
C1,spx,24,-0.014718170481314312
C1,spx,25,-0.023716122384067517
C1,spx,26,-0.020799764524372332
C1,spx,27,-0.01909973317283199
C1,spx,28,-0.007849450452154927
C1,spx,29,-0.002200230248841913
C1,spx,30,-0.0013698060784994592
C1,spx,31,0.012920074837311987
C1,spx,32,0.03153088558285981
C1,spx,33,0.03920735906069451
C1,spx,34,0.045225593009316715
C1,spx,35,0.03851063972237065
C1,spx,36,0.03766143310075837
C1,spx,37,0.037714402666349615
C1,spx,38,0.028376027193000083
C1,spx,39,0.013206570464195638
C1,spx,40,0.002620778961785285
C1,spx,41,-0.01097612294930011
C1,spx,42,-0.005877221536083978
C1,spx,43,-0.002327732360466102
C1,spx,44,0.003176636193230851
C1,spx,45,0.0027285732230604093
C1,spx,46,0.01080303277335694
C1,spx,47,0.02302235388497612
C1,spx,48,0.04248683107345001
C1,spx,49,0.057874805301993265
C1,spx,50,0.059976433165927684
C1,spx,51,0.060137816935983246
C1,spx,52,0.06348146342245105
C1,spx,53,0.06576347848934486
C1,spx,54,0.0656283309426021
C1,spx,55,0.04989972900636148
C1,spx,56,0.027960030558539066
C1,spx,57,0.006689559884027358
C1,spx,58,-0.01605937277684601
C1,spx,59,-0.03509591544645092
C1,spx,60,-0.05230220649334895
C1,ndx,-60,-0.005264475504878037
C1,ndx,-59,-0.026422313083002132
C1,ndx,-58,-0.04992554431035889
C1,ndx,-57,-0.05971400434694619
C1,ndx,-56,-0.06324914760944673
C1,ndx,-55,-0.05089087396849349
C1,ndx,-54,-0.03955656749779414
C1,ndx,-53,-0.027456847281964868
C1,ndx,-52,-0.021802114364385228
C1,ndx,-51,-0.0037786036842100365
C1,ndx,-50,0.007069323977905992
C1,ndx,-49,0.008307281705308738
C1,ndx,-48,0.0045722642463453455
C1,ndx,-47,0.005024736849624765
C1,ndx,-46,-0.004415384340253942
C1,ndx,-45,-0.0010033526971179357
C1,ndx,-44,0.0029566510154012448
C1,ndx,-43,0.0012791283571507344
C1,ndx,-42,0.0019031559201017276
C1,ndx,-41,0.0014618578202390195
C1,ndx,-40,-0.0031887666152870487
C1,ndx,-39,-0.0033388662623306843
C1,ndx,-38,-0.01536927836369313
C1,ndx,-37,-0.03537116501169179
C1,ndx,-36,-0.04902667533105994
C1,ndx,-35,-0.04754697971742022
C1,ndx,-34,-0.04252410612918566
C1,ndx,-33,-0.036832865746269844
C1,ndx,-32,-0.021246584146313707
C1,ndx,-31,-0.0004762549994372514
C1,ndx,-30,0.019759729730396233
C1,ndx,-29,0.04037575287246428
C1,ndx,-28,0.04397541959142196
C1,ndx,-27,0.03759397452051851
C1,ndx,-26,0.038771123876736216
C1,ndx,-25,0.029548334614479366
C1,ndx,-24,0.023624283608642733
C1,ndx,-23,0.02688658681788994
C1,ndx,-22,0.027896094786807588
C1,ndx,-21,0.025195230121240968
C1,ndx,-20,0.04230370004499354
C1,ndx,-19,0.04866099714627345
C1,ndx,-18,0.05695074722872253
C1,ndx,-17,0.05866575959918207
C1,ndx,-16,0.04933279363780586
C1,ndx,-15,0.04673641075819387
C1,ndx,-14,0.05697177620717909
C1,ndx,-13,0.05303551486203525
C1,ndx,-12,0.04410885487630604
C1,ndx,-11,0.03685361602858789
C1,ndx,-10,0.03905469934466758
C1,ndx,-9,0.04073891813106234
C1,ndx,-8,0.033101738849242925
C1,ndx,-7,0.01804481943989573
C1,ndx,-6,0.0057860569507278805
C1,ndx,-5,0.005669719012583198
C1,ndx,-4,0.000834909035915682
C1,ndx,-3,-0.011559344568643415
C1,ndx,-2,-0.008590543374726456
C1,ndx,-1,0.0032821740144699948
C1,ndx,0,0.02372935888348967
C1,ndx,1,0.04500367556909946
C1,ndx,2,0.05629904392611701
C1,ndx,3,0.06727482445179442
C1,ndx,4,0.07531903828386136
C1,ndx,5,0.07624031494311662
C1,ndx,6,0.06447094201598601
C1,ndx,7,0.04436099043542203
C1,ndx,8,0.019986953889094775
C1,ndx,9,0.012260526061025042
C1,ndx,10,0.00922634631959496
C1,ndx,11,0.014051541025948865
C1,ndx,12,0.013163081407580473
