asset,date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
xrp,2026-03-16,1.3848830461502075,2.29,1.14,True,False,False,False,False,False
xrp,2026-03-23,1.3272759914398191,2.27,1.14,True,False,False,False,False,False
xrp,2026-03-30,1.325495958328247,2.25,1.14,True,False,False,False,False,False
xrp,2026-04-06,1.3249980211257937,2.24,1.15,True,False,False,False,False,False
xrp,2026-04-13,1.3946529626846311,2.22,1.15,True,False,False,False,False,False
xrp,2026-04-20,1.4315749406814575,2.2,1.16,True,False,False,False,False,False
xrp,2026-04-27,1.387578010559082,2.18,1.17,True,False,False,False,False,False
xrp,2026-05-04,1.4728070497512815,2.16,1.17,True,False,False,False,False,False
xrp,2026-05-11,1.4009430408477783,2.15,1.18,True,False,False,False,False,False
xrp,2026-05-18,1.3500330448150637,2.13,1.18,True,False,False,False,False,False
xrp,2026-05-25,1.3313210010528564,2.11,1.19,True,False,False,False,False,False
xrp,2026-06-01,1.1546510457992554,2.1,1.19,True,True,False,True,False,False
xrp,2026-06-08,1.1858290433883667,2.08,1.19,True,True,False,False,False,False
xrp,2026-06-15,1.1244189739227295,2.05,1.2,True,True,False,False,False,False
xrp,2026-06-22,1.0475759506225586,2.02,1.2,True,True,False,False,False,False
xrp,2026-06-29,1.1558929681777954,1.97,1.21,True,True,False,False,False,False
xrp,2026-07-06,1.085737943649292,1.93,1.21,True,True,False,False,False,False
xrp,2026-07-13,1.0959210395812988,1.89,1.21,True,True,False,False,False,False
xrp,2026-07-20,1.1116650104522705,1.85,1.22,True,True,False,False,False,False
xrp,2026-07-27,1.0846099853515625,1.81,1.22,True,True,False,False,False,False
xrp,2026-08-03,1.0289150476455688,1.77,1.22,True,True,False,False,False,False
xrp,2026-08-10,0.9919729828834534,1.73,1.22,True,True,False,False,False,False
xrp,2026-08-17,1.5221879482269287,1.71,1.23,True,False,False,False,False,True
xrp,2026-08-24,1.398800015449524,1.67,1.23,True,False,False,False,False,False
sol,2020-04-06,0.8825070261955261,,,False,False,False,False,False,False
sol,2020-04-13,0.6069689989089966,,,False,False,False,False,False,False
sol,2020-04-20,0.6355059742927551,,,False,False,False,False,False,False
sol,2020-04-27,0.6795349717140198,,,False,False,False,False,False,False
sol,2020-05-04,0.5370339751243591,,,False,False,False,False,False,False
sol,2020-05-11,0.6129890084266663,,,False,False,False,False,False,False
sol,2020-05-18,0.5490530133247375,,,False,False,False,False,False,False
sol,2020-05-25,0.5700219869613647,,,False,False,False,False,False,False
sol,2020-06-01,0.6165779829025269,,,False,False,False,False,False,False
sol,2020-06-08,0.5870770215988159,,,False,False,False,False,False,False
sol,2020-06-15,0.6731489896774292,,,False,False,False,False,False,False
sol,2020-06-22,0.7984949946403503,,,False,False,False,False,False,False
sol,2020-06-29,0.6916639804840088,,,False,False,False,False,False,False
sol,2020-07-06,1.0167160034179688,,,False,False,False,False,False,False
sol,2020-07-13,0.9203490018844604,,,False,False,False,False,False,False
sol,2020-07-20,1.5651099681854248,,,False,False,False,False,False,False
sol,2020-07-27,1.7428100109100342,,,False,False,False,False,False,False
sol,2020-08-03,2.6652278900146484,,,False,False,False,False,False,False
sol,2020-08-10,3.385653018951416,,,False,False,False,False,False,False
sol,2020-08-17,3.3224310874938965,,,False,False,False,False,False,False
sol,2020-08-24,4.4358229637146,,,False,False,False,False,False,False
sol,2020-08-31,3.086042881011963,,,False,False,False,False,False,False
sol,2020-09-07,3.2258388996124268,,,False,False,False,False,False,False
sol,2020-09-14,2.8709030151367188,,,False,False,False,False,False,False
sol,2020-09-21,3.152946949005127,,,False,False,False,False,False,False
sol,2020-09-28,2.5159950256347656,,,False,False,False,False,False,False
sol,2020-10-05,2.4265780448913574,,,False,False,False,False,False,False
sol,2020-10-12,2.2142670154571533,,,False,False,False,False,False,False
sol,2020-10-19,1.7874590158462524,,,False,False,False,False,False,False
sol,2020-10-26,1.5998400449752808,,,False,False,False,False,False,False
sol,2020-11-02,2.1565980911254883,,,False,False,False,False,False,False
sol,2020-11-09,2.04323410987854,,,False,False,False,False,False,False
sol,2020-11-16,2.1448450088500977,,,False,False,False,False,False,False
sol,2020-11-23,1.915155053138733,,,False,False,False,False,False,False
sol,2020-11-30,1.8542490005493164,,,False,False,False,False,False,False
sol,2020-12-07,1.5654560327529907,,,False,False,False,False,False,False
sol,2020-12-14,1.5635759830474854,,,False,False,False,False,False,False
sol,2020-12-21,1.3030420541763306,,,False,False,False,False,False,False
sol,2020-12-28,2.1617519855499268,,,False,False,False,False,False,False
sol,2021-01-04,3.466110944747925,,,False,False,False,False,False,False
sol,2021-01-11,3.81813907623291,,,False,False,False,False,False,False
sol,2021-01-18,3.634411096572876,,,False,False,False,False,False,False
sol,2021-01-25,4.264143943786621,,,False,False,False,False,False,False
sol,2021-02-01,6.700462818145752,,,False,False,False,False,False,False
sol,2021-02-08,8.738896369934082,,,False,False,False,False,False,False
sol,2021-02-15,11.0855131149292,,,False,False,False,False,False,False
sol,2021-02-22,13.08924674987793,,,False,False,False,False,False,False
sol,2021-03-01,13.877732276916504,,,False,False,False,False,False,False
sol,2021-03-08,14.50826644897461,,,False,False,False,False,False,False
sol,2021-03-15,14.332205772399902,3.29,,False,False,False,False,False,False
sol,2021-03-22,18.016233444213867,3.63,,False,False,False,False,False,False
sol,2021-03-29,24.061323165893555,4.1,,False,False,False,False,False,False
sol,2021-04-05,27.9318904876709,4.65,,False,False,False,False,False,False
sol,2021-04-12,32.30291748046875,5.28,,False,False,False,False,False,False
sol,2021-04-19,47.36762619018555,6.22,,False,False,False,False,False,False
sol,2021-04-26,46.89098739624024,7.14,,False,False,False,False,False,False
sol,2021-05-03,44.330196380615234,8.02,,False,False,False,False,False,False
sol,2021-05-10,47.200828552246094,8.95,,False,False,False,False,False,False
sol,2021-05-17,24.68874740600586,9.43,,False,False,False,False,False,False
sol,2021-05-24,28.602659225463867,9.99,,False,False,False,False,False,False
sol,2021-05-31,42.30837631225586,10.83,,False,False,False,False,False,False
sol,2021-06-07,38.77043533325195,11.59,,False,False,False,False,False,False
sol,2021-06-14,35.32201385498047,12.28,,False,False,False,False,False,False
sol,2021-06-21,31.929391860961918,12.9,,False,False,False,False,False,False
sol,2021-06-28,34.31060028076172,13.57,,False,False,False,False,False,False
sol,2021-07-05,32.17784118652344,14.18,,False,False,False,False,False,False
sol,2021-07-12,26.751909255981445,14.68,,False,False,False,False,False,False
sol,2021-07-19,28.168773651123047,15.19,,False,False,False,False,False,False
sol,2021-07-26,34.25436019897461,15.8,,False,False,False,False,False,False
sol,2021-08-02,37.673824310302734,16.49,,False,False,False,False,False,False
sol,2021-08-09,53.74515914916992,17.48,,False,False,False,False,False,False
sol,2021-08-16,72.80391693115234,18.87,,False,False,False,False,False,False
sol,2021-08-23,94.46967315673828,20.7,,False,False,False,False,False,False
sol,2021-08-30,142.0708770751953,23.48,,False,False,False,False,False,False
sol,2021-09-06,174.53762817382812,26.91,,False,False,False,False,False,False
sol,2021-09-13,152.51669311523438,29.91,,False,False,False,False,False,False
sol,2021-09-20,135.69937133789062,32.57,,False,False,False,False,False,False
sol,2021-09-27,172.5891571044922,35.98,,False,False,False,False,False,False
sol,2021-10-04,148.0487060546875,38.91,,False,False,False,False,False,False
sol,2021-10-11,159.74380493164062,42.07,,False,False,False,False,False,False
sol,2021-10-18,202.3619842529297,46.07,,False,False,False,False,False,False
sol,2021-10-25,202.4210205078125,50.08,,False,False,False,False,False,False
sol,2021-11-01,249.823486328125,55.04,,False,False,False,False,False,False
sol,2021-11-08,238.42552185058597,59.77,,False,False,False,False,False,False
sol,2021-11-15,231.2826232910156,64.35,,False,False,False,False,False,False
sol,2021-11-22,200.67665100097656,68.34,,False,False,False,False,False,False
sol,2021-11-29,196.1682586669922,72.23,,False,False,False,False,False,False
sol,2021-12-06,173.43167114257812,75.67,,False,False,False,False,False,False
sol,2021-12-13,180.09805297851562,79.23,,False,False,False,False,False,False
sol,2021-12-20,198.000732421875,83.12,,False,False,False,False,False,False
sol,2021-12-27,176.38284301757812,86.57,,False,False,False,False,False,False
sol,2022-01-03,140.83900451660156,89.32,,False,False,False,False,False,False
sol,2022-01-10,147.8565216064453,92.19,,False,False,False,False,False,False
sol,2022-01-17,99.5782241821289,94.05,,False,False,False,False,False,False
sol,2022-01-24,93.29767608642578,95.74,,True,False,False,False,False,False
sol,2022-01-31,115.2997589111328,97.82,,False,False,False,False,False,False
sol,2022-02-07,93.24410247802734,99.42,,True,False,True,False,False,False
sol,2022-02-14,90.9014129638672,100.96,,True,False,False,False,False,False
sol,2022-02-21,85.51905059814453,102.38,,True,False,False,False,False,False
sol,2022-02-28,84.54218292236328,103.79,,True,False,False,False,False,False
sol,2022-03-07,78.93607330322266,105.01,,True,False,False,False,False,False
sol,2022-03-14,88.61486053466797,106.3,,True,False,False,False,False,False
sol,2022-03-21,107.08422088623048,107.88,,True,False,False,False,False,False
sol,2022-03-28,136.77532958984375,109.97,,False,False,False,False,True,False
sol,2022-04-04,111.74243927001952,111.26,,False,False,False,False,False,False
sol,2022-04-11,100.40969848632812,112.33,,True,False,True,False,False,False
sol,2022-04-18,99.2357940673828,113.43,,True,False,False,False,False,False
sol,2022-04-25,89.6715087890625,114.28,,True,False,False,False,False,False
sol,2022-05-02,75.22018432617188,115.29,,True,False,False,False,False,False
sol,2022-05-09,58.81126022338867,115.89,,True,False,False,False,False,False
sol,2022-05-16,52.75518035888672,116.1,,True,False,False,False,False,False
sol,2022-05-23,44.90961456298828,116.22,,True,False,False,False,False,False
sol,2022-05-30,38.48053359985352,116.29,,True,False,False,False,False,False
sol,2022-06-06,30.74327087402344,116.26,,True,False,False,False,False,False
sol,2022-06-13,34.24374771118164,116.26,,True,False,False,False,False,False
