date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
2014-06-16,600.34,456.96,,False,False,False,False,False,False
2014-06-23,599.89,467.16,,False,False,False,False,False,False
2014-06-30,630.57,478.05,,False,False,False,False,False,False
2014-07-07,630.88,488.81,,False,False,False,False,False,False
2014-07-14,627.0,499.43,,False,False,False,False,False,False
2014-07-21,590.3,509.35,,False,False,False,False,False,False
2014-07-28,588.91,519.14,,False,False,False,False,False,False
2014-08-04,590.96,528.7,,False,False,False,False,False,False
2014-08-11,496.86,536.02,,True,False,True,False,False,False
2014-08-18,507.85,543.81,,True,False,False,False,False,False
2014-08-25,479.04,550.89,,True,False,False,False,False,False
2014-09-01,475.43,557.93,,True,False,False,False,False,False
2014-09-08,475.49,564.9,,True,False,False,False,False,False
2014-09-15,399.55,570.44,,True,False,False,False,False,False
2014-09-22,375.35,575.29,,True,False,False,False,False,False
2014-09-29,323.52,578.43,,True,False,False,False,False,False
2014-10-06,378.11,582.11,,True,False,False,False,False,False
2014-10-13,387.53,585.66,,True,False,False,False,False,False
2014-10-20,355.18,586.31,,True,False,False,False,False,False
2014-10-27,324.36,583.25,,True,False,False,False,False,False
2014-11-03,364.77,574.54,,True,False,False,False,False,False
2014-11-10,389.86,563.24,,True,False,False,False,False,False
2014-11-17,367.17,554.84,,True,False,False,False,False,False
2014-11-24,377.01,545.14,,True,False,False,False,False,False
2014-12-01,377.26,540.43,,True,False,False,False,False,False
2014-12-08,356.52,533.0,,True,False,False,False,False,False
2014-12-15,320.01,521.3,,True,False,False,False,False,False
2014-12-22,317.64,510.78,,True,False,False,False,False,False
2014-12-29,264.0,499.21,,True,False,False,False,False,False
2015-01-05,266.39,488.25,,True,False,False,False,False,False
2015-01-12,211.85,476.19,,True,False,False,False,False,False
2015-01-19,255.31,467.54,,True,False,False,False,False,False
2015-01-26,226.93,459.66,,True,False,False,False,False,False
2015-02-02,223.88,451.94,,True,False,False,False,False,False
2015-02-09,235.63,445.33,,True,False,False,False,False,False
2015-02-16,236.5,437.26,,True,False,False,False,False,False
2015-02-23,258.34,429.72,,True,False,False,False,False,False
2015-03-02,275.0,424.0,,True,False,False,False,False,False
2015-03-09,286.75,420.54,,True,False,False,False,False,False
2015-03-16,267.74,416.77,,True,False,False,False,False,False
2015-03-23,242.0,413.28,,True,False,False,False,False,False
2015-03-30,260.54,408.49,,True,False,False,False,False,False
2015-04-06,236.5,404.62,,True,False,False,False,False,False
2015-04-13,222.54,400.31,,True,False,False,False,False,False
2015-04-20,219.52,395.9,,True,False,False,False,False,False
2015-04-27,239.0,391.74,,True,False,False,False,False,False
2015-05-04,239.13,385.05,,True,False,False,False,False,False
2015-05-11,235.97,377.15,,True,False,False,False,False,False
2015-05-18,239.22,368.77,,True,False,False,False,False,False
2015-05-25,228.91,361.58,,True,False,False,False,False,False
2015-06-01,222.7,354.03,,True,False,False,False,False,False
2015-06-08,232.09,346.67,216.67,True,False,False,False,False,False
2015-06-15,243.64,338.93,217.83,True,False,False,False,False,False
2015-06-22,248.62,331.29,219.02,True,False,False,False,False,False
2015-06-29,271.5,324.18,220.33,True,False,False,False,False,False
2015-07-06,310.55,318.58,221.85,True,False,False,False,False,False
2015-07-13,275.47,312.31,223.2,True,False,False,False,False,False
2015-07-20,293.19,306.36,224.64,True,False,False,False,False,False
2015-07-27,282.32,302.07,226.02,True,False,False,False,False,False
2015-08-03,265.05,297.21,227.33,True,False,False,False,False,False
2015-08-10,256.11,292.75,228.59,True,False,False,False,False,False
2015-08-17,228.89,287.82,229.72,True,True,False,True,False,False
2015-08-24,229.0,282.89,230.85,True,True,False,False,False,False
2015-08-31,240.28,279.71,232.04,True,False,False,False,False,False
2015-09-07,229.66,276.79,233.17,True,True,False,True,False,False
2015-09-14,230.16,274.93,234.31,True,True,False,False,False,False
2015-09-21,232.41,272.01,235.46,True,True,False,False,False,False
2015-09-28,238.6,269.03,236.63,True,False,False,False,False,True
2015-10-05,248.05,266.89,237.86,True,False,False,False,False,False
2015-10-12,261.05,265.62,239.15,True,False,False,False,False,False
2015-10-19,283.96,264.01,240.54,False,False,False,False,True,False
2015-10-26,325.78,262.73,242.15,False,False,False,False,False,False
2015-11-02,372.65,262.84,243.98,False,False,False,False,False,False
2015-11-09,319.28,261.68,245.54,False,False,False,False,False,False
2015-11-16,324.2,260.62,247.12,False,False,False,False,False,False
2015-11-23,371.48,260.92,248.95,False,False,False,False,False,False
2015-11-30,388.24,262.28,250.87,False,False,False,False,False,False
2015-12-07,433.07,264.59,253.0,False,False,False,False,False,False
2015-12-14,442.54,268.16,255.19,False,False,False,False,False,False
2015-12-21,421.76,271.27,257.28,False,False,False,False,False,False
2015-12-28,431.04,275.65,259.41,False,False,False,False,False,False
2016-01-04,448.79,279.52,261.63,False,False,False,False,False,False
2016-01-11,380.16,282.59,263.5,False,False,False,False,False,False
2016-01-18,402.16,286.15,265.49,False,False,False,False,False,False
2016-01-25,368.49,288.81,267.31,False,False,False,False,False,False
2016-02-01,375.0,291.58,269.16,False,False,False,False,False,False
2016-02-08,405.0,294.52,271.16,False,False,False,False,False,False
2016-02-15,438.5,297.79,273.33,False,False,False,False,False,False
2016-02-22,431.68,300.68,275.46,False,False,False,False,False,False
2016-02-29,406.23,303.45,277.47,False,False,False,False,False,False
2016-03-07,413.04,306.87,279.51,False,False,False,False,False,False
2016-03-14,411.28,309.89,281.54,False,False,False,False,False,False
2016-03-21,424.77,313.65,283.64,False,False,False,False,False,False
2016-03-28,419.11,317.59,285.71,False,False,False,False,False,False
2016-04-04,420.04,321.6,287.78,False,False,False,False,False,False
2016-04-11,427.42,325.36,289.89,False,False,False,False,False,False
2016-04-18,460.02,329.78,292.15,False,False,False,False,False,False
2016-04-25,453.0,334.12,294.39,False,False,False,False,False,False
2016-05-02,458.21,338.5,296.64,False,False,False,False,False,False
2016-05-09,457.56,343.08,298.89,False,False,False,False,False,False
2016-05-16,438.8,347.4,301.05,False,False,False,False,False,False
2016-05-23,517.84,353.11,303.59,False,False,False,False,False,False
2016-05-30,573.91,359.72,306.41,False,False,False,False,False,False
2016-06-06,672.13,368.19,309.71,False,False,False,False,False,False
2016-06-13,761.44,377.99,313.48,False,False,False,False,False,False
2016-06-20,630.16,384.38,316.58,False,False,False,False,False,False
2016-06-27,658.27,392.04,319.82,False,False,False,False,False,False
2016-07-04,648.76,399.15,323.01,False,False,False,False,False,False
2016-07-11,679.54,407.09,326.34,False,False,False,False,False,False
2016-07-18,661.47,415.02,329.59,False,False,False,False,False,False
2016-07-25,623.83,422.37,332.65,False,False,False,False,False,False
2016-08-01,592.47,429.65,335.55,False,False,False,False,False,False
2016-08-08,568.76,436.44,338.34,False,False,False,False,False,False
2016-08-15,577.55,443.19,341.17,False,False,False,False,False,False
2016-08-22,573.2,450.06,343.98,False,False,False,False,False,False
2016-08-29,603.72,457.53,346.95,False,False,False,False,False,False
2016-09-05,606.32,465.01,349.93,False,False,False,False,False,False
2016-09-12,608.0,472.39,352.91,False,False,False,False,False,False
2016-09-19,598.98,479.41,355.84,False,False,False,False,False,False
2016-09-26,608.6,486.36,358.82,False,False,False,False,False,False
2016-10-03,613.06,492.95,361.82,False,False,False,False,False,False
2016-10-10,638.97,499.21,364.95,False,False,False,False,False,False
2016-10-17,648.74,504.73,368.13,False,False,False,False,False,False
2016-10-24,697.23,512.29,371.55,False,False,False,False,False,False
2016-10-31,709.93,520.01,375.03,False,False,False,False,False,False
2016-11-07,700.38,526.58,378.47,False,False,False,False,False,False
2016-11-14,727.09,533.36,382.02,False,False,False,False,False,False
2016-11-21,727.32,539.25,385.57,False,False,False,False,False,False
2016-11-28,762.0,545.63,389.28,False,False,False,False,False,False
2016-12-05,768.97,552.58,393.01,False,False,False,False,False,False
2016-12-12,788.67,559.73,396.82,False,False,False,False,False,False
2016-12-19,890.67,568.57,401.12,False,False,False,False,False,False
2016-12-26,997.75,580.92,405.94,False,False,False,False,False,False
2017-01-02,909.75,591.07,410.26,False,False,False,False,False,False
2017-01-09,821.86,600.14,414.13,False,False,False,False,False,False
2017-01-16,923.76,611.12,418.4,False,False,False,False,False,False
2017-01-23,912.01,621.26,422.48,False,False,False,False,False,False
2017-01-30,1011.07,632.71,426.71,False,False,False,False,False,False
2017-02-06,1000.73,644.09,431.26,False,False,False,False,False,False
2017-02-13,1051.8,657.0,435.92,False,False,False,False,False,False
2017-02-20,1179.05,672.32,441.14,False,False,False,False,False,False
2017-02-27,1273.0,689.55,446.92,False,False,False,False,False,False
2017-03-06,1226.62,705.59,452.49,False,False,False,False,False,False
2017-03-13,1017.97,717.57,456.99,False,False,False,False,False,False
2017-03-20,960.0,728.37,461.15,False,False,False,False,False,False
2017-03-27,1078.01,741.38,465.92,False,False,False,False,False,False
2017-04-03,1206.2,756.3,471.45,False,False,False,False,False,False
2017-04-10,1162.31,770.49,476.77,False,False,False,False,False,False
2017-04-17,1241.99,786.16,482.47,False,False,False,False,False,False
2017-04-24,1350.21,804.02,488.78,False,False,False,False,False,False
2017-05-01,1554.01,826.32,496.18,False,False,False,False,False,False
2017-05-08,1784.0,851.64,504.65,False,False,False,False,False,False
2017-05-15,2017.55,880.52,514.3,False,False,False,False,False,False
2017-05-22,2178.81,910.65,524.74,False,False,False,False,False,False
2017-05-29,2530.27,946.03,536.9,False,False,False,False,False,False
2017-06-05,2954.22,992.51,551.21,False,False,False,False,False,False
2017-06-12,2516.98,1029.68,563.29,False,False,False,False,False,False
2017-06-19,2502.03,1066.75,575.24,False,False,False,False,False,False
2017-06-26,2504.37,1103.25,587.11,False,False,False,False,False,False
2017-07-03,2502.28,1140.06,599.03,False,False,False,False,False,False
2017-07-10,1917.63,1165.94,607.99,False,False,False,False,False,False
2017-07-17,2749.02,1209.07,621.12,False,False,False,False,False,False
2017-07-24,2742.37,1252.54,634.19,False,False,False,False,False,False
2017-07-31,3222.75,1305.44,649.69,False,False,False,False,False,False
2017-08-07,4053.87,1375.06,669.3,False,False,False,False,False,False
2017-08-14,4058.68,1444.16,688.76,False,False,False,False,False,False
2017-08-21,4337.68,1518.78,709.48,False,False,False,False,False,False
2017-08-28,4606.26,1598.75,731.46,False,False,False,False,False,False
2017-09-04,4226.22,1671.29,750.98,False,False,False,False,False,False
